id,joke,category
773,"Yo mama's so tall, she makes Shaquille O'Neal look like Gary Coleman.",tall
772,"Yo mama's so tall, she has to take out the driver's seat of her car and sit in the back to operate the vehicle.",tall
771,"Yo mama's so tall, she uses two 100-foot ladders as crutches.",tall
770,"Yo mama's so tall, she can see her house from anywhere.",tall
768,Yo mama is so tall that she tripped over a rock and hit her head on the moon.,tall
767,Yo mama is so tall that she tripped in Michigan and bumped her head in Florida.,tall
766,"Yo mama is so skinny that instead of calling her your parent, you call her transparent.",skinny
764,Yo mama is so skinny that her pants only have one belt loop.,skinny
763,Yo mama is so skinny that if she had a yeast infection she'd be a Quarter Pounder with Cheese.,skinny
762,Yo mama is so skinny that she had to stand in the same place twice to cast a shadow.,skinny
761,Yo mama is so skinny that her bra fits better when she wears it backwards.,skinny
760,"Yo mama is so skinny that when she takes a bath and lets the water out, her toes get caught in the drain.",skinny
759,Yo mama is so skinny that she goes hot tubbing with the Mini Wheats Man.,skinny
758,"Yo mama is so skinny that if she turned sideways and stuck out her tongue, she would look like a zipper.",skinny
757,Yo mama is so skinny that she uses Chapstick for deodorant.,skinny
755,Yo mama is so skinny that she can dodge rain drops.,skinny
754,Yo mama is so skinny that she only has one stripe on her pajamas.,skinny
753,Yo mama is so skinny that she looks like a mic stand.,skinny
752,Yo mama is so skinny that I could blind-fold her with dental floss.,skinny
751,Yo mama is so skinny that her nipples touch.,skinny
750,"Yo mama is so skinny that if she had a sesame seed on her head, she'd look like a push pin.",skinny
749,"Yo mama is so skinny that when she wore her yellow dress, she looked like an HB pencil.",skinny
748,Yo mama is so skinny that she has to run around in the shower to get wet.,skinny
747,Yo mama is so skinny that you can save her from drowning by tossing her a Fruit Loop.,skinny
746,Yo mama is so skinny that she uses a Band-Aid as a maxi-pad.,skinny
745,Yo mama is so skinny that she can see out a peephole with both eyes.,skinny
743,Yo mama is so skinny that she has to wear a belt with spandex.,skinny
742,Yo mama is so skinny that she hula hoops with a Cheerio.,skinny
741,Yo mama is so skinny that she turned sideways and disappeared.,skinny
740,Yo mama's arms are so short that she has to tilt her head to scratch her ear.,short
739,Yo mama is so short that she can play handball on the curb.,short
738,Yo mama's so short that when she sat on the curb her feet didn't touch the ground.,short
737,"Yo mama is so short, you can make a life size sculpture of her using one can of Play-Doh.",short
736,Yo mama is so short that she makes Gary Coleman look like Shaquille O'Neal.,short
735,Yo mama is so short that she has to look up to look down.,short
734,Yo mama is so short that she slam-dunks her bus fare.,short
733,Yo mama is so short that she uses a condom for a sleeping bag.,short
732,Yo mama is so short that she can limbo under the door.,short
731,Yo mama is so short that when I was dissin' her she tried to jump kick me in the ankle.,short
730,Yo mama is so short that she can do push-ups under the door.,short
729,Yo mama is so short that she does pull-ups on a staple.,short
728,"Yo mama is so short that when she sneezes, she hits her head on the floor.",short
727,Yo mama is so short that she has to get a running start to get up on the toilet.,short
726,Yo mama is so short that her homies are the Keebler Elfs.,short
725,Yo mama is so short that she models for trophies.,short
724,Yo mama is so short that she does back flips under the bed.,short
723,Yo mama is so short that she has to use a ladder to pick up a dime.,short
722,Yo mama is so short that you can see her feet on her drivers license!,short
721,Yo mama is so poor that when I ring the doorbell I hear the toilet flush!,poor
720,"Yo mama is so poor that when I saw her in the park digging up plants, she said she was ""getting groceries"".",poor
719,Yo mama is so poor that her idea of a timeshare is a few days camped out under a bridge.,poor
718,"Yo mama is so poor that when she tells people her address, she says ""it's in the second alley from main street, beside the yellow dumpster.""",poor
717,"Yo mama is so poor that for Halloween, her trick was the treat.",poor
715,Yo mama is so poor that she got in an elevator and thought it was a mobile home.,poor
714,"Yo mama is so poor that when I ring the doorbell she says,""DING!""",poor
713,Yo mama is so poor that your family ate cereal with a fork to save milk.,poor
712,"Yo mama is so poor that after I pissed in your yard, she thanked me for watering the lawn.",poor
711,"Yo mama is so poor that when I asked what was for dinner, she pulled her shoelaces off and said ""Spaghetti.""",poor
710,"Yo mama is so poor that I walked into her house and swatted a firefly and Yo Mama said, ""Who turned off the lights?""",poor
709,"Yo mama is so poor that we were on a road trip and she stopped by a dumpster and got out. I said ""what are you doing"" and she said I'm ""booking a hotel!""",poor
708,"Yo mama is so poor that I threw a rock at a trash can and she popped out and said ""Who knocked?""",poor
707,"Yo mama is so poor that when I saw her rolling some trash cans around in an alley, I asked her what she was doing, she said ""Remodeling.""",poor
706,"Yo mama is so poor that when I went over to her house for dinner and grabbed a paper plate, she said ""Don't use the good china!""",poor
705,Yo mama is so poor that she married young just to get the rice!,poor
704,Yo mama is so poor that burglars break in and leave money.,poor
703,"Yo mama is so poor that when yo family watches TV, they go to Sears.",poor
702,Yo mama is so poor that her idea of a fortune cookie is a tortilla with a food stamp in it.,poor
701,Yo mama is so poor that she washes paper plates.,poor
700,Yo mama is so poor that she can't even afford to go to the free clinic.,poor
699,Yo mama is so poor that she watches TV on an Etch-A-Sketch.,poor
698,Yo mama is so poor that your TV got 2 channels: ON and OFF.,poor
697,"Yo mama is so poor that when I walked inside her house and put out a cigarette, she said ""who turned off the heater?""",poor
696,"Yo mama is so poor that I walked into her house, asked to use the bathroom, and she said ""3rd bucket to your right.""",poor
695,"Yo mama is so poor that I stepped on her skateboard and she said ""Hey, get off the car!""",poor
694,"Yo mama is so poor that I went to her house and tore down some cob webs, and she said ""Who's tearing down the drapes?""",poor
693,Yo mama is so poor that her face is on the front of a food stamp.,poor
692,"Yo mama is so poor that when I saw her walking down the street with one shoe and said ""Hey miss, lost a shoe?"" she said ""Nope, just found one!""",poor
691,Yo mama is so poor that she can't even put her two cents in this conversation.,poor
690,Yo mama is so poor that the closest thing to a car she has is a low-rider shopping cart with a box on it.,poor
689,Yo mama is so poor that I saw her wrestling a squirrel for a peanut.,poor
688,Yo mama is so poor that her front and back doors are on the same hinge.,poor
687,Yo mama is so poor that I went through her front door and ended up in the back yard.,poor
686,Yo mama is so poor that she lives in a two story Doritos bag with a dog named Chip.,poor
685,Yo mama is so poor that she had to get a second mortgage on her cardboard box.,poor
684,Yo mama is so poor that she has to take the trash IN.,poor
683,Yo mama is so poor that I came over for dinner and she read me recipes.,poor
682,Yo mama is so poor that she's got more furniture on her porch than in her house.,poor
681,Yo mama is so poor that she has to wear her McDonald's uniform to church.,poor
680,Yo mama is so poor she couldn't afford to apply for Medicare!,poor
679,Yo mama is so poor Nigerian scammers wire HER money!,poor
678,Yo mama is so poor that the bank repossesed her cardboard box.,poor
677,Yo mama is so poor that I saw her running after a garbage truck with a shopping list.,poor
676,Yo mama is so poor that she waves around a popsicle stick and calls it air conditioning.,poor
675,"Yo mama is so poor that when I saw her kicking a can down the street, I asked her what she was doing, and she said ""moving.""",poor
674,Yo mama is so poor that she can't afford to pay attention!,poor
673,Yo mama is so poor that she went to McDonald's and put a milkshake on layaway.,poor
672,"Yo mama is so poor that when she goes to KFC, she has to lick other people's fingers!",poor
671,"Yo mama is so poor that she was in K-Mart with a box of Hefty bags and when I asked her what she was doing she said, ""Buying luggage.""",poor
670,Yo mama is so old that she ran track with dinosaurs.,old
669,Yo mama is so old that she owes Jesus a dollar.,old
668,Yo mama is so old that she was a waitress at the Last Supper.,old
667,Yo mama is so old that when she was young rainbows were black and white.,old
666,"Yo mama is so old, when she breast feeds, people mistake her for a fog machine.",old
665,"Yo mama is so old that when she was born, the Dead Sea was just getting sick.",old
664,Yo mama is so old that she called the cops when David and Goliath started to fight.,old
663,Yo mama is so old that she knew Cap'n Crunch while he was still a private.,old
662,Yo mama is so old that she has a picture of Moses in her yearbook.,old
661,Yo mama is so old that she sat next to Jesus in third grade.,old
660,Yo mama is so old that she planted the first tree at Central Park.,old
659,Yo mama is so old that she's mentioned in the shout out at the end of the bible.,old
658,Yo mama is so old that her memory is in black and white.,old
657,Yo mama is so old that she learned to write on cave walls.,old
656,"Yo mama is so old that when Moses split the red sea, she was on the other side fishing.",old
655,Yo mama is so old that she needed a walker when Jesus was still in diapers.,old
654,"Yo mama is so old that when God said ""Let there be light"" she was there to flick the switch.",old
653,Yo mama is so old that she knew the Beetles when they were the New Kids on the Block.,old
652,Yo mama is so old that she knew Mr. Clean when he had hair.,old
651,Yo mama is so old that she baby-sat for Jesus.,old
650,Yo mama is so old that she walked into an antique store and they kept her.,old
649,Yo mama is so old that she DJ'd at the Boston Tea Party.,old
648,Yo mama is so old that she took her drivers test on a dinosaur.,old
647,Yo mama is so old that she drove a chariot to high school.,old
646,Yo mama is so old that she owes Fred Flintstone a food stamp.,old
645,"Yo mama is so old that when she farts, dust comes out.",old
644,Yo mama is so old that the candles cost more than the birthday cake.,old
643,Yo mama is so old she remembers when the Mayans published their calendar.,old
642,Yo mama is so old that she has an autographed bible.,old
641,Yo mama is so old that she co-wrote the Ten Commandments.,old
640,Yo mama is so old that she has Adam & Eve's autographs.,old
639,Yo mama is so old that her birth certificate is written in Roman numerals.,old
638,Yo mama is so old that her social security number is 1.,old
637,Yo mama is so old that she knew Burger King while he was still a prince.,old
636,"Yo mama is so old that I told her to act her own age, and she died.",old
635,Yo mama is so old that that when she was in school there was no history class.,old
634,"Yo mama is so old that her birth certificate says ""expired"" on it.",old
633,Yo mama is so old that they teach what she did in History Classes.,old
632,Yo mama is so bald that she took a shower and got brain-washed!,bald
631,Yo mama is so bald that you can see what's on her mind.,bald
630,Yo mama is so bald that even a wig wouldn't help!,bald
629,"Yo mama's so bald that when she braids her hair, it looks like stitches.",bald
628,"Yo mama's so bald that when she goes to bed, her head slips off the pillow.",bald
627,Yo mama's so bald that you could draw a line down the middle of her head and it would look like my ass.,bald
626,Yo mama's so bald that I can tell fortunes on her head.,bald
625,Yo mama's so hairy that she has to go to Furfest to meet a man.,hairy
624,Yo mama's so hairy and ugly that she got used as Ashitare's stunt double.,hairy
623,Yo mama's so hairy Naruto thought she was a Summon.,hairy
622,Yo mama is so hairy that the only language she can speak is wookie.,hairy
621,Yo mama is so hairy that when she's at a nude beach people think she's wearing a fur coat!,hairy
620,Yo mama is so hairy that two birds made nests in her armpits and she doesn't even know about it!,hairy
619,Yo mama is so hairy that she gets mistaken for Chewbacca's cousin.,hairy
618,"Yo mama is so hairy that people run up to her and say ""Chewbacca, can I get your autograph?""",hairy
617,Yo mama is so hairy that she got a trim and lost 20 pounds.,hairy
616,Yo mama's so hairy that she's got sideburns on her tits.,hairy
615,Yo mama is so hairy that her armpits look like she has Don King in a headlock.,hairy
614,"Yo mama is so hairy that if you shaved her legs, you could supply wigs for the entire Hair Club for Men.",hairy
613,Yo mama is so hairy that she shaves her legs with a weed wacker.,hairy
612,Yo mama is so hairy that the only language she can speak is wookie.,hairy
611,Yo mama is so hairy that Jane Goodall follows her around.,hairy
610,Yo mama is so hairy that she looks like a Chia pet with a sweater on.,hairy
609,Yo mama is so hairy that when I took her to a pet store they locked her in a cage.,hairy
607,Yo mama is so hairy that she looks like Bigfoot in a tank top.,hairy
606,Yo mama is so hairy that if she could fly she'd look like a magic carpet.,hairy
605,"Yo mama is so hairy that they filmed ""Gorillas in the Mist"" in her shower!",hairy
604,Yo mama is so hairy that you almost died of rug burn at birth!,hairy
603,Yo mama is so hairy that she looks like she has Buckwheat in a headlock.,hairy
602,Yo mama is so hairy that Bigfoot wants to take HER picture!,hairy
601,Yo mama's breath is so nasty that it chases away Miasma.,nasty
600,"Yo mama's so nasty that the order of the phoenix was ""stay away from that woman!""",nasty
599,"Yo mama's so nasty, every pair of her panties has the Dark Mark on them.",nasty
598,"Yo mama's so nasty, the Forbidden Forrest was named after her.",nasty
597,Yo mama is so nasty that her crabs use her tampon string as a bungee cord.,nasty
596,Yo mama is so nasty that the only dis I want to give her is a disinfectant.,nasty
593,"Yo mama is so nasty that when you were being delivered, the doctor was wearing the oxygen mask.",nasty
592,Yo mama is so nasty that her shit is glad to escape.,nasty
591,Yo mama is so nasty that next to her a skunk smells sweet.,nasty
590,"Yo mama is so nasty that I when I talked to her on the phone, she gave me an ear infection.",nasty
589,Yo mama is so nasty that she made right guard turn left.,nasty
588,Yo mama is so nasty that she has more crabs then Red Lobster.,nasty
586,Yo mama is so nasty that she's got more clap than an auditorium.,nasty
584,Yo mama is so nasty that she bit the dog and gave it rabies.,nasty
583,Yo mama is so nasty that she has to use Right Guard and Left Guard.,nasty
581,Yo mama is so nasty that I chatted with her on MSN and she gave me a virus.,nasty
580,Yo mama is so nasty that a skunk smelled her and passed out.,nasty
579,Yo mama is so nasty that she only changes her drawers once every 10000 miles.,nasty
578,Yo mama is so nasty that the fishery pays her to stay away.,nasty
576,Yo mama is so nasty that she brings crabs to the beach.,nasty
575,Yo mama is so nasty that she makes speed stick slow down.,nasty
574,Yo mama is so nasty that she has more rappers in her than an iPod.,nasty
573,"Yo mama is so ugly, that Pythagoras wouldn't touch her with a 3-4-5 triangle.",ugly
572,Yo mama's so ugly that you could put lipstick on a pig and it would look ten times better than her!,ugly
571,"Yo mama's so ugly that when she asked Crabbe to take her to the Yule Ball, he decided to go with Goyle instead!",ugly
570,Yo mama's so ugly she scares the Dementors away.,ugly
569,Yo mama's so ugly that as a baby they had to use the Confundus Charm so the family would play with her.,ugly
568,"Yo mama's so ugly, she thought that Hogwarts were the growth on her thigh.",ugly
567,"Yo mama's so ugly that Voldemort took one look at her and killed HIMSELF!""",ugly
566,Yo mama's so ugly she turned the Basilisk to stone.,ugly
565,"Yo mama's so ugly that when she walked into Gringotts Wizarding Bank, they gave her a job application.",ugly
564,"Yo mama's so ugly that when the bassalisk snuck up on her and saw her face, HE dropped dead.",ugly
563,Yo mama's so ugly that she lost a beauty contest to Mountain Troll.,ugly
562,Yo Mama's so ugly that even Voldemort won't say her name.,ugly
561,Yo mama's so ugly that the Dementor's Kiss was swapped out for a hearty handshake and a promise to give her a call sometime.,ugly
560,"Yo Mama's so ugly, everybody calls her ""She-Who-Must-Not-Be-Naked""",ugly
559,Yo mama's so ugly that the whomping willow saw her and died.,ugly
558,"Yo mama's so ugly, even a dementor wouldn't kiss her!",ugly
557,"Yo mama's so ugly that when Captain Jack Harkness saw her, he actually died.",ugly
556,"Yo mama's so ugly that when the Daleks Exterminate her, it's not for domination.",ugly
555,"Yo mama's so ugly that when she looks into the Tardis, the Tardis doesn't look into her.",ugly
554,"Yo mama's so ugly that Dalek's don't actually say 'Exterminate' when they see her, because they figure somebody else already got there first!",ugly
553,"Yo mama so ugly, winter turned around and left!",ugly
552,"Yo Mama so Ugly, she got turned down for ""Girls Gone Wilding""",ugly
551,Yo mama's so ugly that she makes Orochimaru look beautiful.,ugly
550,"Yo mama's so ugly that when Kakashi looked directly at her, he lost an eye.",ugly
549,"Yo mama's so ugly that when Nozomu Itoshiki saw her, he didn't even bother with his ""ZETSUBOUSHITA!"" speech - he skipped straight to hanging himself.",ugly
548,"Yo mama's so ugly, Saya thought she was a Chiropteran.",ugly
547,Yo Mama's so ugly even a Ferengi would dress her in clothes.,ugly
546,Yo mama's so ugly her Kazon hairdo is an improvement!,ugly
545,Yo Mama's so ugly even Data would need special eye googles to look at her.,ugly
544,Yo mama's so ugly that she's probably a Shi'ido Clawdite that stays in her regular form all the time.,ugly
543,"Yo mama's so ugly that she made doctor McCoy say ""Damnit Jim, I'm a doctor, not a Zoologist!""",ugly
542,Yo mama's so ugly that Dr. Evazan looks like a male supermodel next to her.,ugly
541,Yo mama's so ugly that the term 'bantha poodoo' wasn't used metaphorically with reference to her.,ugly
540,Yo mama's so ugly that Wuher said 'We don't serve your kind here'.,ugly
539,Yo mama's so ugly that she made Loz cry.,ugly
538,Yo mama's so ugly that she makes Sailor Bubba feel dirty.,ugly
537,Yo mama's so ugly that she made Spike Spiegel choke on his cigarette,ugly
535,"Yo mama's so ugly that she's like a Death Note. Get someone to look at her, and they'll die!",ugly
534,"Yo mama's so ugly, she's the real reason sasuke left the village.",ugly
533,"Yo mama's so ugly, even Tamaki wouldn't hit on her.",ugly
531,Yo Mama's so ugly she did the truly impossible: she made Captain James T Kirk's penis go limp.,ugly
530,Yo mama was such an ugly baby that her parents had to feed her with a slingshot.,ugly
528,Yo mama is so ugly that she put the Boogie Man out of business!,ugly
527,Yo mama is so ugly that when she was born she was put in an incubator with tinted windows.,ugly
526,Yo mama is so ugly that it looks like someone did the stanky leg dance on her face.,ugly
525,Yo mama is so ugly that she's never seen herself 'cause the mirrors keep breaking.,ugly
524,Yo mama is so ugly that government intelligence agencies have to pixelize her face when spying on her.,ugly
523,Yo mama is so ugly that a sculpture of her face is used when torturing prisoners at Guantanamo Bay.,ugly
522,"Yo mama is so ugly that the FCC requires her face to be blurred when she's on TV, because of decency rules.",ugly
521,"Yo mama is so ugly that when she walked out of her house, the neighbors called animal control.",ugly
520,Yo mama is so ugly that her face is blurred on her driver's license.,ugly
519,Yo mama is so ugly that when she went to Taco Bell everyone ran for the border.,ugly
518,"Yo mama is so ugly that I took her to the zoo, guy at the door said ""Thanks for bringing her back.""",ugly
517,Yo mama is so ugly that she could be the poster child for birth control.,ugly
516,"Yo mama is so ugly that if she was a scarecrow, the corn would run away.",ugly
515,Yo mama is so ugly that I took her to a haunted house and she came out with a job application.,ugly
514,Yo mama is so ugly that people hang her picture in their cars so their radios don't get stolen.,ugly
513,Yo mama is so ugly that Santa pays an elf to drop off her gifts at Christmas.,ugly
512,"Yo mama is so ugly that when she moved into the projects, all her neighbors chipped in for curtains.",ugly
511,Yo mama is so ugly that she can look up a camel's butt and scare the hump off of it.,ugly
510,"Yo mama is so ugly that when she looks in the mirror it says ""viewer discretion is advised.""",ugly
509,Yo mama is so ugly that people at the circus pay money not to see her.,ugly
508,Yo mama is so ugly that her pillow cries at night.,ugly
507,Yo mama is so ugly that it looks like she's been bobbing for french fries.,ugly
506,Yo mama is so ugly that she'd scare the monster out of Loch Ness.,ugly
505,Yo mama is so ugly that she threw a boomerang and it wouldn't even come back.,ugly
503,Yo mama is so ugly that she has 7 years bad luck just trying to look at herself in the mirror.,ugly
502,"Yo mama is so ugly that she didn't get hit with the ugly stick, she got hit by the whole damn tree.",ugly
501,"Yo mama is so ugly that when she was born, the doctor slapped her AND her parents!",ugly
499,"Yo mama is so ugly that when she walks in the kitchen, the rats jump on the table and start screaming.",ugly
498,Yo mama is so ugly that she gives Freddy Kreuger nightmares.,ugly
497,"Yo mama is so ugly that when she goes to the therapist, he makes her lie on the couch face down.",ugly
496,Yo mama is so ugly that they push her face into dough to make gorilla cookies.,ugly
495,Yo mama is so ugly that neither Jacob nor Edward want her on their team.,ugly
494,"Yo mama is so ugly that when she plays Mortal Kombat, Scorpion tells her to ""Stay Over There!""",ugly
493,Yo mama is so ugly that she gets 364 extra days to dress up for Halloween!,ugly
492,"Yo mama is so ugly that when I last saw a mouth like hers, it had a hook in it.",ugly
491,Yo mama is so ugly that she made an onion cry!,ugly
489,Yo mama is so ugly that you have to tie a steak around her neck so the dog will play with her!,ugly
488,Yo mama is so ugly that they pay her to put her clothes on in strip joints,ugly
487,"Yo mama is so ugly that when she drove past area 51, she was thought to be extraterrestrial life. They took her away never to be seen again.",ugly
486,"Yo mama is so ugly that that when she sits in the sand on the beach, cats try to bury her.",ugly
485,Yo mama is so ugly that she could make a freight train take a dirt road.,ugly
484,"Yo mama is so ugly that when she joined an ugly contest, they said ""Sorry, no professionals.""",ugly
483,"Yo mama is so ugly that when she uploaded a photo of herself to a computer, it was rejected by the anti-virus software.",ugly
482,Yo mama is so ugly that even Rice Krispies won't talk to her!,ugly
481,Yo mama is so ugly that they didn't give her a costume when she auditioned for Star Wars.,ugly
480,"Yo mama is so ugly that when she walks into a bank, they turn off the surveillance cameras.",ugly
479,Yo mama is so ugly that her mom had to be drunk to breast feed her.,ugly
478,"Yo mama is so ugly that when she walks down the street in September, people say ""Wow, is it Halloween already?""",ugly
477,Yo mama is so ugly that she tried to take a bath and the water jumped out!,ugly
476,Yo mama is so ugly that that your father takes her to work with him so that he doesn't have to kiss her goodbye.,ugly
473,Yo mama is so ugly that her shadow ran away from her.,ugly
472,Yo mama is so ugly that we put her in the kennel when we go on vacation.,ugly
471,"Yo mama is so ugly that the last time I saw something that looked like her, I pinned a tail on it.",ugly
470,Yo mama is so ugly that she climbed the ugly ladder and didn't miss a step.,ugly
469,Yo mama is so ugly that she makes blind children cry.,ugly
468,Yo mama is so ugly that she looks like she's been in a dryer filled with rocks.,ugly
467,"Yo mama is so ugly that when she looks in the mirror, the reflection looks back and shakes its head.",ugly
466,Yo mama is so ugly that... well... look at you!,ugly
465,Yo mama is so ugly that she scared the crap out of the toilet.,ugly
464,Yo mama is so ugly that she scares the roaches away.,ugly
463,Yo mama is so ugly that the government moved Halloween to her birthday!,ugly
462,Yo mama is so ugly that she turned Medusa to stone!,ugly
461,Yo mama is so ugly that people go as her for Halloween.,ugly
460,Yo mama is so ugly that she looked out the window and got arrested for mooning.,ugly
459,Yo mama is so ugly that when she went to a beautician it took 12 hours... to get a quote!,ugly
456,"Yo mama is so ugly that if she was a scarecrow, the corn would run away.",ugly
455,Yo mama is so ugly that I took her to a haunted house and she came out with a job application.,ugly
454,Yo mama is so ugly that people hang her picture in their cars so their radios don't get stolen.,ugly
453,Yo mama is so ugly that Santa pays an elf to drop off her gifts at Christmas.,ugly
452,"Yo mama is so ugly that when she moved into the projects, all her neighbors chipped in for curtains.",ugly
451,Yo mama is so ugly that she can look up a camel's butt and scare the hump off of it.,ugly
450,"Yo mama is so ugly that when she looks in the mirror it says ""viewer discretion is advised.""",ugly
449,Yo mama is so ugly that people at the circus pay money not to see her.,ugly
448,Yo mama is so ugly that her pillow cries at night.,ugly
447,Yo mama is so ugly that it looks like she's been bobbing for french fries.,ugly
446,Yo mama is so ugly that she'd scare the monster out of Loch Ness.,ugly
445,Yo mama is so ugly that she threw a boomerang and it wouldn't even come back.,ugly
444,Yo mama is so ugly that she practices birth control by leaving the lights on.,ugly
443,Yo mama is so ugly that she has 7 years bad luck just trying to look at herself in the mirror.,ugly
442,"Yo mama is so ugly that she didn't get hit with the ugly stick, she got hit by the whole damn tree.",ugly
441,"Yo mama is so ugly that when she was born, the doctor slapped her AND her parents!",ugly
440,Yo mama is so ugly that even Bill Clinton wouldn't sleep with her.,ugly
439,"Yo mama is so ugly that when she walks in the kitchen, the rats jump on the table and start screaming.",ugly
438,Yo mama is so ugly that she gives Freddy Kreuger nightmares.,ugly
437,"Yo mama is so ugly that when she goes to the therapist, he makes her lie on the couch face down.",ugly
436,Yo mama is so ugly that they push her face into dough to make gorilla cookies.,ugly
435,Yo mama is so ugly that neither Jacob nor Edward want her on their team.,ugly
434,"Yo mama is so ugly that when she plays Mortal Kombat, Scorpion tells her to ""Stay Over There!""",ugly
433,Yo mama is so ugly that she gets 364 extra days to dress up for Halloween!,ugly
432,"Yo mama is so ugly that when I last saw a mouth like hers, it had a hook in it.",ugly
431,Yo mama is so ugly that she made an onion cry!,ugly
430,"Yo mama is so ugly that just after she was born, her mother said ""What a treasure!"" and her father said ""Yes, let's go bury it.""",ugly
429,Yo mama is so ugly that you have to tie a steak around her neck so the dog will play with her!,ugly
428,Yo mama is so ugly that they pay her to put her clothes on in strip joints,ugly
427,"Yo mama is so ugly that when she drove past area 51, she was thought to be extraterrestrial life. They took her away never to be seen again.",ugly
426,"Yo mama is so ugly that that when she sits in the sand on the beach, cats try to bury her.",ugly
425,Yo mama is so ugly that she could make a freight train take a dirt road.,ugly
424,"Yo mama is so ugly that when she joined an ugly contest, they said ""Sorry, no professionals.""",ugly
423,"Yo mama is so ugly that when she uploaded a photo of herself to a computer, it was rejected by the anti-virus software.",ugly
422,Yo mama is so ugly that even Rice Krispies won't talk to her!,ugly
421,Yo mama is so ugly that they didn't give her a costume when she auditioned for Star Wars.,ugly
420,"Yo mama is so ugly that when she walks into a bank, they turn off the surveillance cameras.",ugly
419,Yo mama is so ugly that her mom had to be drunk to breast feed her.,ugly
418,"Yo mama is so ugly that when she walks down the street in September, people say ""Wow, is it Halloween already?""",ugly
417,Yo mama is so ugly that she tried to take a bath and the water jumped out!,ugly
416,Yo mama is so ugly that that your father takes her to work with him so that he doesn't have to kiss her goodbye.,ugly
415,Yo mama is so ugly that her birth certificate contained an apology letter from the condom factory.,ugly
414,Yo mama is so ugly that she could scare the flies off a shit wagon.,ugly
413,Yo mama is so ugly that her shadow ran away from her.,ugly
412,Yo mama is so ugly that we put her in the kennel when we go on vacation.,ugly
411,"Yo mama is so ugly that the last time I saw something that looked like her, I pinned a tail on it.",ugly
410,Yo mama is so ugly that she climbed the ugly ladder and didn't miss a step.,ugly
409,Yo mama is so ugly that she makes blind children cry.,ugly
408,Yo mama is so ugly that she looks like she's been in a dryer filled with rocks.,ugly
407,"Yo mama is so ugly that when she looks in the mirror, the reflection looks back and shakes its head.",ugly
406,Yo mama is so ugly that... well... look at you!,ugly
405,Yo mama is so ugly that she scared the crap out of the toilet.,ugly
404,Yo mama is so ugly that she scares the roaches away.,ugly
403,Yo mama is so ugly that the government moved Halloween to her birthday!,ugly
402,Yo mama is so ugly that she turned Medusa to stone!,ugly
401,Yo mama is so ugly that people go as her for Halloween.,ugly
400,Yo mama is so ugly that she looked out the window and got arrested for mooning.,ugly
399,Yo mama is so ugly that when she went to a beautician it took 12 hours... to get a quote!,ugly
398,"Yo Mama so dumb, she thought Bran Stark was a type of muffin.",stupid
397,"Yo mama so dumb, she lost a spelling bee to Hodor",stupid
396,Yo mama is so stupid that she tried to drop acid but the car battery fell on her foot.,stupid
395,"Yo mama's so stupid that when she broke her VCR, she bought a video tape on how to fix your VCR.",stupid
394,"Yo mama's so stupid that whenever someone rings the doorbell, she checks the microwave.",stupid
393,Yo mama's so stupid that she bought tickets to Xbox Live.,stupid
392,Yo mama's so stupid that she went to the dentist to get a bluetooth.,stupid
391,Yo mama's so stupid that she got locked inside a motorcycle.,stupid
390,Yo mama is so stupid that she locked her keys inside a motorcycle.,stupid
389,Yo mama is so stupid that she stole free bread.,stupid
388,Yo mama is so stupid that she put on bug spray before going to the flea market.,stupid
387,Yo mama is so stupid that she once attempted to commit suicide by jumping off a curb.,stupid
386,Yo mama is so stupid that she wouldn't know up from down if she had three guesses.,stupid
385,Yo mama is so stupid that at bottom of application where it says Sign Here - she put Scorpio.,stupid
384,Yo mama is so stupid that she put two M&M's in her ears and thought she was listening to Eminem.,stupid
383,Yo mama is so stupid that she thinks Tiger Woods is a forest.,stupid
382,Yo mama is so stupid that she thinks deadbeat is a type of music.,stupid
